module_id,canonical_module_name,legacy_names,module_summary,current_surfaces,current_routes,navigation_reachability,implementation_status,disposition,disposition_rationale,owning_gate,accountable_owner,primary_metric,metric_definition,current_evidence,dependencies,route_strategy,flag_strategy,reentry_condition,follow_up_packet,migration_risk,compatibility_risk,rollback_approach,source_reference,open_questions
AX-001,Application bootstrap,,Process start & application ini…,Process start & application ini…,launcher,STARTUP,IMPLEMENTED,IMPROVE,SRC=Improve Now;NORM=IMPROVE,G1,sajadalireza|W8,startup_success_rate,Percent of launches reaching a valid first de…,Tested | app/src/main/AndroidManifest.xml:13,Hilt | WorkManager | locale configuration,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-101 | WP-103 | WP-106,WP-101 | WP-103 | WP-106,LOW,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-001|REG|LIVE,Launch reached AXIOM UI on android-34…
AX-002,App shell and primary navigation,,Five-tab shell | HUD | modal sh…,Five-tab shell | HUD | modal sh…,all declared routes,ALL_DECLARED_ROUTES | PRIMA…,IMPLEMENTED,IMPROVE,SRC=Redesign Now;NORM=IMPROVE,G2 | G3,sajadalireza|W2,primary_action_clarity_rate,Percent of representative users who identify…,Observed | app/navigation/Screen.kt:3,Navigation Compose | shared ViewModels |…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-203 | WP-207,WP-203 | WP-207,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-002|REG|LIVE,29 Screen entries and five primary ta…
AX-003,Language and theme setup,,First-launch language & theme c…,First-launch language & theme c…,setup,CONDITIONAL_MANDATORY_FIRST…,IMPLEMENTED,IMPROVE,SRC=Keep + Improve;NORM=IMPROVE,G2,sajadalireza|W4,setup_completion_rate,Percent of eligible users completing required…,Observed | app/navigation/AwakenNavGraph.kt:80,Prefs | Activity recreation | theme system,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207,WP-207,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-003|REG|LIVE,Setup precedes onboarding when setupC…
AX-004,Splash and route guard,Launch guard | eligibility routing,Animated splash & first destina…,Animated splash & first destina…,splash,START_DESTINATION | MANDATO…,IMPLEMENTED,IMPROVE,SRC=Replace Now;NORM=IMPROVE,G2,sajadalireza|W4,route_guard_accuracy_rate,Percent of tested eligibility states routed t…,Observed | app/presentation/onboarding/SplashSc…,HunterRepo | EnsureSession | Prefs,RS_REPLACE_WITH_LEGACY_FALLBACK,FS_NO_CHANGE,ONLY:WP-201 | WP-203 | WP-208,WP-201 | WP-203 | WP-208,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-004|REG|LIVE,Live guard uses firstMissionDone and…
AX-005,Legacy identity onboarding,Identity onboarding,Name capture & initial profile…,Name capture & initial profile…,onboarding | awakening_complete,CONDITIONAL_MANDATORY_FIRST…,IMPLEMENTED,RETIRE,SRC=Rollback Only -> Retire;NORM=RE…,G2 | G4,sajadalireza|W4,legacy_onboarding_exposure_rate,Percent of ordinary new-user journeys enterin…,Observed | app/navigation/AwakenNavGraph.kt,HunterRepo | Initialize | AX-006 | AX-007,RS_RETIRE_REDIRECT_KEEP_READER,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,REPLACEMENT+EXPOSURE0+BACKUP+REVERT,WP-202 | WP-203 | WP-208,HIGH,HIGH,RB_RESTORE_REDIRECT_READER_BACKUP,MPB:AX-005|REG|LIVE,Registry said completion routed to Ho…
AX-006,Legacy first mission,First Mission | instant-XP first m…,First mission creation | comple…,First mission creation | comple…,first_mission | awakening_complete,CONDITIONAL_MANDATORY_FIRST…,IMPLEMENTED,RETIRE,SRC=Retire;NORM=RETIRE,G2,sajadalireza|W4,legacy_first_mission_exposure_rate,Percent of ordinary new-user journeys enterin…,Observed | app/navigation/AwakenNavGraph.kt,CreateMission | CompleteMission | analyti…,RS_RETIRE_REDIRECT_KEEP_READER,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,REPLACEMENT+EXPOSURE0+BACKUP+REVERT,WP-201 | WP-203 | WP-208,HIGH,HIGH,RB_RESTORE_REDIRECT_READER_BACKUP,MPB:AX-006|REG|LIVE,Registry described this path as bypas…
AX-007,Blueprint and Main Quest,Blueprint | Main Quest | personal…,Long-term personal blueprint |…,Long-term personal blueprint |…,blueprint_wizard | main_quest,CONDITIONAL_MANDATORY_BLUEP…,IMPLEMENTED,HIDE,SRC=Hide / Unlock Later;NORM=HIDE,G7,sajadalireza|W1,ordinary_user_exposure_rate,Percent of ordinary users reaching Blueprint/…,Observed | app/navigation/AwakenNavGraph.kt,ProfileRepo | Prefs | AX-005 | AX-006 | A…,RS_HIDE_DEFAULT_OFF_KEEP_ALIAS,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+UX+EXPOSURE0+ROLLBACK,WP-202 | WP-208 | Future G7 expansion packet,HIGH,HIGH,RB_DISABLE_HIDE_RESTORE_NAV,MPB:AX-007|REG|LIVE,Registry called it optional/deep; liv…
AX-008,First-Win vertical slice,,Setup | Area | Action | Do | Re…,Setup | Area | Action | Do | Re…,not declared,NOT_DECLARED,PLANNED_SPEC_ONLY,IMPROVE,SRC=Build Now;NORM=IMPROVE,G2,sajadalireza|W4,first_mission_completion_rate,Percent of eligible First-Win sessions comple…,Observed | docs/superpowers/specs/2026-08-01-fi…,Mission domain | Room | DataStore | analy…,RS_ADD_G2_STICKY_ROUTE,FS_NO_CHANGE,ONLY:WP-201 | WP-203 | WP-204 | WP-205 | W…,WP-201 | WP-203 | WP-204 | WP-205 | WP-206 | WP-207…,HIGH,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-008|REG|LIVE,"No FirstWin route, state machine, sti…"
AX-009,Home and Today,,Current status | next action |…,Current status | next action |…,home,PRIMARY_TAB,IMPLEMENTED,IMPROVE,SRC=Redesign Now;NORM=IMPROVE,G3,sajadalireza|W1,next_meaningful_mission_action_rate,Percent of Home visits that advance the user…,Tested | app/presentation/home/HomeScreen.kt:18,Hunter | missions | streak | profile | vi…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:Future G3 Core Loop packet,Future G3 Core Loop packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-009|REG|LIVE,Current first viewport mixes several…
AX-010,Mission list,Tasks | Gates,Mission filters | state | empty…,Mission filters | state | empty…,missions,PRIMARY_TAB_DESTINATION_VIA…,IMPLEMENTED,IMPROVE,SRC=Keep + Improve;NORM=IMPROVE,G3,sajadalireza|W1,meaningful_mission_selection_rate,Percent of Mission-list visits resulting in s…,Tested | app/presentation/missions/MissionsScre…,MissionRepo | progression | navigation |…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:Future G3 Mission-list packet,Future G3 Mission-list packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-010|REG|LIVE,The missions route renders GatesScree…
